"Plaza de Colón","-3.6893698","40.4257046","2"
"Plaza de España A","-3.711603","40.42402","-7"
"Plaza de España B","-3.711703","40.42412","6"
"Plaza de Felipe II","-3.6753567","40.4242625","2"
"Plaza de Juan Pujol","-3.7043418","40.4255495","13"
"Plaza de la Cebada","-3.7088337","40.4112744","-12"
"Plaza de la Independencia","-3.688398","40.419752","9"
"Plaza de la Provincia","-3.7061032","40.4150099","-3"
"Plaza de la República Argentina","-3.6853312","40.445411","6"
"Plaza de las Salesas","-3.694475","40.423855","0"
"Plaza de Lavapiés","-3.7008803","40.4089282","1"
"Plaza de los Astros","-3.6689089","40.4114475","-12"
"Plaza de los Carros","-3.7120734","40.4110406","4"
"Plaza de Nelson Mandela","-3.7040666","40.4097617","-13"
"Plaza de Pedro Zerolo","-3.6996502","40.4207773","2"
"Plaza de Ramales","-3.7124038","40.4167281","-5"
"Plaza de San Ildefonso","-3.7020842","40.4239757","6"
"Plaza de San Juan de la Cruz","-3.6927821","40.4415974","10"
"Plaza de San Miguel","-3.7095084","40.4156057","15"
"Plaza de Santa Ana","-3.7007164","40.4144226","3"
"Plaza del Carmen","-3.7032414","40.4184192","2"
"Plaza del Cordón","-3.7103285","40.4141931","8"
"Plaza San Francisco","-3.7144964","40.4108442","12"
"Pº Castellana - Glorieta de Emilio Castelar","-3.6892368","40.4355143","4"
"Prim","-3.6954983","40.4218616","-6"
"Príncipe de Vergara","-3.6787441","40.426134","-5"
"Puerta de Granada","-3.6803874","40.4051451","7"
"Puerta de Madrid","-3.680008","40.421501","10"
"Puerta de Mariano de Cavia","-3.6750121","40.4076726","-3"
"Puerta de Toledo","-3.7110513","40.4070358","-3"
"Puerta del Ángel Caído","-3.688822","40.409808","-8"
"Puerta del Doce de Octubre","-3.6779232","40.4153053","-13"
"Puerta del Pacífico","-3.6766813","40.4117627","-8"
"Puerta del Sol A","-3.7024255","40.4168961","-4"
"Puerta del Sol B","-3.7024207","40.4170009","-3"
"Quintana","-3.7174158","40.4277456","2"
"Raimundo Fernández","-3.7001669","40.447125","-2"
"Red de San Luis A","-3.7014814","40.4197872","-9"
"Red de San Luis B","-3.7015235","40.4197204","3"
"Ribera de Curtidores","-3.7071259","40.4053153","0"
"Ronda de Atocha","-3.6935205","40.4075606","-8"
"Sainz de Baranda","-3.6691838","40.4157413","-4"
"San Andrés","-3.7035918","40.4269483","1"
"San Bernardo","-3.7075065","40.4230721","-9"
"San Germán","-3.7009675","40.4572824","-6"
"San Hermenegildo","-3.7061931","40.4284246","2"
"San Quintín","-3.711504","40.4192095","0"
"San Vicente Ferrer","-3.7073764","40.4261649","2"
"Santa Cruz del Marcenado","-3.7126299","40.4295658","6"
"Santa Engracia 127","-3.7016321","40.441386","-7"
"Santa Engracia 14","-3.6963983","40.4295863","9"
"Santa Isabel","-3.6982318","40.4107085","-9"
"Santa María de la Cabeza","-3.6987665","40.4017926","-6"
"Santo Domingo","-3.7080733","40.4197429","13"
"Serrano","-3.6873922","40.4267905","0"
"Serrano 210","-3.6817962","40.4510188","-9"
"Sevilla","-3.69926","40.4181663","8"
"Sor Ángela de la Cruz","-3.691533","40.4592351","-4"
"Valderribas","-3.6726019","40.4032501","0"
"Velázquez","-3.6840229","40.4211802","-5"
"Velázquez 130","-3.682862","40.4379444","-7"
"Ventura Rodríguez","-3.713479","40.4260957","-5"
"Villanueva","-3.6870548","40.4226584","4"
